# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T09:48:33.264253

wavelength[nm],intensity[nW]
1463.780029297,0.000000401
1463.820068359,0.000000408
1463.859985352,0.000000389
1463.900024414,0.000000397
1463.939941406,0.000000407
1463.979980469,0.000000379
1464.020019531,0.000000411
1464.060058594,0.000000411
1464.099975586,0.000000368
1464.140014648,0.000000412
1464.179931641,0.000000401
1464.219970703,0.000000382
1464.260009766,0.000000419
1464.300048828,0.000000403
1464.339965820,0.000000392
1464.380004883,0.000000414
1464.420043945,0.000000434
1464.459960938,0.000000409
1464.500000000,0.000000419
1464.540039062,0.000000432
1464.579956055,0.000000381
1464.619995117,0.000000412
1464.660034180,0.000000387
1464.699951172,0.000000397
1464.739990234,0.000000405
1464.780029297,0.000000371
1464.819946289,0.000000357
1464.859985352,0.000000353
1464.900024414,0.000000336
1464.940063477,0.000000318
1464.979980469,0.000000301
1465.020019531,0.000000308
1465.059936523,0.000000289
1465.099975586,0.000000288
1465.140014648,0.000000292
1465.180053711,0.000000328
1465.219970703,0.000000318
1465.260009766,0.000000347
1465.300048828,0.000000340
1465.339965820,0.000000352
1465.380004883,0.000000361
1465.420043945,0.000000315
1465.459960938,0.000000363
1465.500000000,0.000000338
1465.540039062,0.000000352
1465.579956055,0.000000330
1465.619995117,0.000000308
1465.660034180,0.000000291
1465.700073242,0.000000255
1465.739990234,0.000000263
1465.780029297,0.000000263
1465.819946289,0.000000226
1465.859985352,0.000000236
1465.900024414,0.000000242
1465.940063477,0.000000238
1465.979980469,0.000000243
1466.020019531,0.000000239
1466.059936523,0.000000214
1466.099975586,0.000000220
1466.140014648,0.000000262
1466.180053711,0.000000224
1466.220092773,0.000000215
1466.260009766,0.000000217
1466.299926758,0.000000226
1466.339965820,0.000000202
1466.380004883,0.000000216
1466.420043945,0.000000182
1466.460083008,0.000000165
1466.500000000,0.000000163
1466.539916992,0.000000170
1466.579956055,0.000000173
1466.619995117,0.000000160
1466.660034180,0.000000182
